"","x"
"1427",10
"1428",1
"1429",0
"1430",3
"1431",0
"1432",13
"1433",10
"1434",4
"1435",0
"1436",35
"1437",1
"1438",1
"1439",26
"1440",9
"1441",2
"1442",14
"1443",9
"1444",10
"1445",10
"1446",21
"1447",0
"1448",7
"1449",2
"1450",0
"1451",6
"1452",0
"1453",9
"1454",6
"1455",5
"1456",15
"1457",8
"1458",6
"1459",7
"1460",0
"1461",0
"1462",0
"1463",5
"1464",4
"1465",0
"1466",0
"1467",36
"1468",14
"1469",0
"1470",14
"1471",3
"1472",12
"1473",0
"1474",2
"1475",4
"1476",1
"1477",33
"1478",3
"1479",0
"1480",0
"1481",10
"1482",0
"1483",2
"1484",28
"1485",0
"1486",0
"1487",2
"1488",43
"1489",3
"1490",9
"1491",0
"1492",35
"1493",20
"1494",1
"1495",4
"1496",3
"1497",0
"1498",4
"1499",3
"1500",13
"1501",12
"1502",3
"1503",0
"1504",0
"1505",0
"1506",4
"1507",4
"1508",1
"1509",3
"1510",3
"1511",5
"1512",10
"1513",7
"1514",32
"1515",5
"1516",5
"1517",0
"1518",15
"1519",0
"1520",5
"1521",0
"1522",2
"1523",0
"1524",33
"1525",3
"1526",2
"1527",4
"1528",2
"1529",4
"1530",23
"1531",3
"1532",26
"1533",7
"1534",0
"1535",0
"1536",3
"1537",2
"1538",2
"1539",10
"1540",11
"1541",17
"1542",0
"1543",6
"1544",6
"1545",0
"1546",1
"1547",9
"1548",13
"1549",2
"1550",0
"1551",20
"1552",20
"1553",4
"1554",4
"1555",3
"1556",0
"1557",4
"1558",0
"1559",0
"1560",5
"1561",7
"1562",7
"1563",0
"1564",8
"1565",5
"1566",0
"1567",1
"1568",4
"1569",3
"1570",8
"1571",2
"1572",4
"1573",7
"1574",0
"1575",0
"1576",44
"1577",0
"1578",5
"1579",0
"1580",0
"1581",22
"1582",5
"1583",5
"1584",18
"1585",15
"1586",1
"1587",0
"1588",0
"1589",8
"1590",4
"1591",2
"1592",25
"1593",0
"1594",7
"1595",8
"1596",12
"1597",0
"1598",0
"1599",0
"1600",9
"1601",0
"1602",2
"1603",4
"1604",0
"1605",2
"1606",35
"1607",0
"1608",2
"1609",39
"1610",1
"1611",29
"1612",0
"1613",2
"1614",0
"1615",0
"1616",7
"1617",0
"1618",3
"1619",4
"1620",1
"1621",5
"1622",7
"1623",0
"1624",20
"1625",27
"1626",7
"1627",8
"1628",4
"1629",6
"1630",26
"1631",7
"1632",1
